restaurant_id,rate,votes
44063,"""3.7 /5""",25
41606,"""3.1 /5""",142
32826,"""3.9 /5""",44
14397,,0
16103,"""3.2/5""",4
43642,,0
3900,"""2.9/5""",827
8037,"""NEW""",0
40352,"""3.5 /5""",10
25569,,0
40546,,0
33518,"""3.5 /5""",12
11041,"""4.2/5""",522
11415,"""3.3/5""",4
9550,"""3.0/5""",57
20068,"""3.5/5""",36
39918,"""3.7 /5""",56
42762,"""3.5 /5""",13
44894,"""4.0 /5""",160
49609,,0
5800,,0
26738,"""3.9/5""",57
8811,"""3.3/5""",7
35996,"""4.2 /5""",414
12621,"""NEW""",0
65,"""4.1/5""",1720
47654,,0
39890,"""3.3 /5""",8
45872,"""4.1 /5""",537
11190,"""3.8/5""",40
19865,"""2.9/5""",23
36957,"""3.9 /5""",503
30619,"""3.4 /5""",7
49891,"""4.0 /5""",23
34144,"""3.6 /5""",45
47453,"""3.6 /5""",125
45906,"""4.0 /5""",454
39664,,0
7573,,0
5149,"""3.9/5""",370
5654,"""4.3/5""",1187
36495,,0
40648,"""2.9 /5""",5
8530,"""4.2/5""",702
790,"""3.9/5""",233
44217,"""3.7 /5""",167
2934,"""2.5/5""",35
35018,"""4.3 /5""",656
41589,"""3.7 /5""",833
40291,"""2.5 /5""",60
2213,,0
27942,"""3.0/5""",8
46732,"""4.3 /5""",1103
45488,"""2.9 /5""",48
10972,"""NEW""",0
1519,"""2.8/5""",80
35798,"""3.8 /5""",25
23220,"""3.7/5""",98
44695,,0
17166,"""3.9/5""",48
8104,"""3.6/5""",17
7849,"""3.4/5""",19
29459,"""4.1 /5""",1250
43079,"""3.9 /5""",65
49138,"""3.9 /5""",88
2259,"""4.0/5""",180
24260,"""4.1/5""",274
28991,"""3.9 /5""",106
34970,"""4.0 /5""",199
41669,"""3.4 /5""",58
19292,"""3.8/5""",137
3236,"""4.1/5""",438
33320,,0
50564,"""4.2 /5""",523
40281,"""4.1 /5""",289
12545,"""3.4/5""",50
44236,,0
28257,,0
21559,"""3.1 /5""",53
50610,"""4.1 /5""",0
38955,"""4.1 /5""",79
33779,"""4.1 /5""",43
24271,"""4.2/5""",405
3629,,0
43771,"""2.7 /5""",66
13943,"""3.5/5""",10
19530,"""4.0/5""",776
4441,"""NEW""",0
27983,"""3.2/5""",4
8187,,0
41293,,0
23485,"""2.9/5""",200
26515,"""4.1/5""",354
6625,"""4.2/5""",1279
22680,,0
15299,"""3.6/5""",21
10992,"""4.0/5""",790
33004,"""3.7 /5""",259
24830,"""NEW""",0
21059,"""4.4 /5""",4912
6750,"""4.7/5""",1512
3608,"""3.3/5""",128
30939,"""4.1 /5""",724
47702,"""3.6 /5""",22
43212,"""4.2 /5""",261
48031,"""3.8 /5""",26
33620,"""3.6 /5""",10
5027,"""3.7/5""",100
1737,"""2.6/5""",75
24509,"""3.8/5""",104
48071,"""3.9 /5""",37
